id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
69.0,1091.0,2015-07-05 02:45:54,145.0,0.0,9.0,154.0,723.55,0.0,73.08,796.63
70.0,1091.0,2015-08-03 12:02:33,122.0,5.0,0.0,127.0,608.78,37.45,0.0,646.23
71.0,1091.0,2015-09-01 14:30:59,150.0,19.0,21.0,190.0,748.5,142.31,170.52,1061.33
72.0,1091.0,2015-10-01 15:53:49,163.0,25.0,0.0,188.0,813.37,187.25,0.0,1000.62
73.0,1091.0,2015-10-31 16:07:00,135.0,0.0,8.0,143.0,673.65,0.0,64.96,738.61
74.0,1091.0,2015-11-29 21:32:47,162.0,13.0,0.0,175.0,808.38,97.37,0.0,905.75
75.0,1091.0,2015-12-28 18:48:29,144.0,10.0,17.0,171.0,718.56,74.9,138.04,931.5
76.0,1091.0,2016-01-26 06:32:50,153.0,0.0,69.0,222.0,763.47,0.0,560.28,1323.75
77.0,1091.0,2016-02-25 07:04:29,144.0,5.0,19.0,168.0,718.56,37.45,154.28,910.29
78.0,1091.0,2016-03-25 22:26:45,99.0,0.0,33.0,132.0,494.01,0.0,267.96,761.97
79.0,1091.0,2016-04-24 07:33:58,145.0,0.0,15.0,160.0,723.55,0.0,121.8,845.35
80.0,1091.0,2016-05-23 07:40:57,156.0,0.0,11.0,167.0,778.44,0.0,89.32,867.76
81.0,1091.0,2016-06-22 01:09:48,149.0,8.0,0.0,157.0,743.51,59.92,0.0,803.43
82.0,1091.0,2016-07-21 18:51:18,148.0,0.0,50.0,198.0,738.52,0.0,406.0,1144.52
83.0,1091.0,2016-08-20 04:50:59,137.0,12.0,6.0,155.0,683.63,89.88,48.72,822.23
84.0,1091.0,2016-09-18 20:57:59,172.0,0.0,15.0,187.0,858.28,0.0,121.8,980.08
85.0,1091.0,2016-10-17 13:31:48,146.0,10.0,0.0,156.0,728.54,74.9,0.0,803.44
86.0,1091.0,2016-11-15 18:16:13,254.0,2.0,5.0,261.0,1267.46,14.98,40.6,1323.04
87.0,1091.0,2016-12-14 21:26:59,153.0,0.0,13.0,166.0,763.47,0.0,105.56,869.03
88.0,1101.0,2015-06-24 13:08:15,182.0,339.0,17.0,538.0,908.18,2539.11,138.04,3585.33
89.0,1101.0,2015-08-22 19:40:36,175.0,20.0,19.0,214.0,873.25,149.8,154.28,1177.33
90.0,1101.0,2015-09-21 05:12:37,139.0,0.0,0.0,139.0,693.61,0.0,0.0,693.61
91.0,1101.0,2015-10-21 16:35:51,148.0,0.0,17.0,165.0,738.52,0.0,138.04,876.56
92.0,1101.0,2015-11-21 00:11:01,155.0,5.0,34.0,194.0,773.45,37.45,276.08,1086.98
93.0,1101.0,2015-12-19 18:36:08,158.0,52.0,2.0,212.0,788.42,389.48,16.24,1194.14
94.0,1101.0,2016-01-17 14:32:49,149.0,11.0,6.0,166.0,743.51,82.39,48.72,874.62
95.0,1101.0,2016-02-15 07:57:58,168.0,1.0,2.0,171.0,838.32,7.49,16.24,862.05
96.0,1101.0,2016-03-15 11:36:03,14.0,8.0,16.0,38.0,69.86,59.92,129.92,259.7
97.0,1101.0,2016-04-14 00:14:37,160.0,16.0,0.0,176.0,798.4,119.84,0.0,918.24
98.0,1101.0,2016-05-13 02:19:44,163.0,16.0,22.0,201.0,813.37,119.84,178.64,1111.85
99.0,1101.0,2016-06-12 12:56:04,150.0,0.0,12.0,162.0,748.5,0.0,97.44,845.94
100.0,1111.0,2015-11-15 17:49:49,301.0,77.0,23.0,401.0,1501.99,576.73,186.76,2265.48
101.0,1111.0,2015-12-15 22:02:35,349.0,41.0,0.0,390.0,1741.51,307.09,0.0,2048.6
102.0,1121.0,2015-08-26 00:32:35,293.0,33.0,11.0,337.0,1462.07,247.17,89.32,1798.56
103.0,1121.0,2015-09-25 13:56:00,298.0,64.0,0.0,362.0,1487.02,479.36,0.0,1966.38
104.0,1121.0,2015-10-24 15:43:59,298.0,72.0,27.0,397.0,1487.02,539.28,219.24,2245.54
105.0,1121.0,2015-11-22 17:26:40,331.0,32.0,10.0,373.0,1651.69,239.68,81.2,1972.57
106.0,1121.0,2015-12-21 01:14:30,291.0,0.0,16.0,307.0,1452.09,0.0,129.92,1582.01
107.0,1121.0,2016-01-20 15:31:29,200.0,38.0,22.0,260.0,998.0,284.62,178.64,1461.26
108.0,1121.0,2016-02-19 18:07:00,284.0,48.0,7.0,339.0,1417.16,359.52,56.84,1833.52
109.0,1121.0,2016-03-19 07:18:30,294.0,26.0,0.0,320.0,1467.06,194.74,0.0,1661.8
110.0,1121.0,2016-04-18 15:26:58,298.0,0.0,21.0,319.0,1487.02,0.0,170.52,1657.54
111.0,1121.0,2016-05-17 13:18:04,304.0,40.0,26.0,370.0,1516.96,299.6,211.12,2027.68
112.0,1121.0,2016-07-15 03:35:43,294.0,19.0,13.0,326.0,1467.06,142.31,105.56,1714.93
113.0,1121.0,2016-08-13 20:41:27,302.0,14.0,0.0,316.0,1506.98,104.86,0.0,1611.84
114.0,1121.0,2016-09-11 23:20:42,305.0,19.0,0.0,324.0,1521.95,142.31,0.0,1664.26
115.0,1121.0,2016-10-10 10:54:31,303.0,30.0,133.0,466.0,1511.97,224.7,1079.96,2816.63
116.0,1121.0,2016-11-08 02:29:47,294.0,23.0,47.0,364.0,1467.06,172.27,381.64,2020.97
117.0,1121.0,2016-12-07 18:48:16,321.0,38.0,9.0,368.0,1601.79,284.62,73.08,1959.49
118.0,1131.0,2016-05-13 06:54:10,377.0,8.0,32.0,417.0,1881.23,59.92,259.84,2200.99
119.0,1131.0,2016-06-12 12:29:45,0.0,30.0,23.0,53.0,0.0,224.7,186.76,411.46
120.0,1131.0,2016-07-12 00:17:14,296.0,32.0,22.0,350.0,1477.04,239.68,178.64,1895.36
121.0,1131.0,2016-08-10 23:47:41,273.0,134.0,0.0,407.0,1362.27,1003.66,0.0,2365.93
122.0,1131.0,2016-09-09 17:07:16,310.0,21.0,0.0,331.0,1546.9,157.29,0.0,1704.19
123.0,1131.0,2016-10-09 15:13:25,307.0,20.0,38.0,365.0,1531.93,149.8,308.56,1990.29
124.0,1131.0,2016-11-07 05:10:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,1131.0,2016-12-07 06:28:31,303.0,28.0,0.0,331.0,1511.97,209.72,0.0,1721.69
126.0,1141.0,2016-09-24 03:35:17,193.0,0.0,0.0,193.0,963.07,0.0,0.0,963.07
127.0,1141.0,2016-10-23 20:29:12,174.0,0.0,34.0,208.0,868.26,0.0,276.08,1144.34
128.0,1141.0,2016-11-22 20:51:49,150.0,0.0,7.0,157.0,748.5,0.0,56.84,805.34
129.0,1141.0,2016-12-21 15:52:58,143.0,1045.0,2157.0,3345.0,713.57,7827.05,17514.84,26055.46
130.0,1151.0,2016-12-30 05:02:46,503.0,0.0,56.0,559.0,2509.97,0.0,454.72,2964.69
131.0,1161.0,2016-03-06 03:01:33,366.0,35.0,13.0,414.0,1826.34,262.15,105.56,2194.05
132.0,1161.0,2016-04-05 22:03:16,518.0,10.0,8.0,536.0,2584.82,74.9,64.96,2724.68
133.0,1161.0,2016-05-05 10:04:06,495.0,37.0,0.0,532.0,2470.05,277.13,0.0,2747.18
134.0,1161.0,2016-06-04 09:20:44,497.0,99.0,22.0,618.0,2480.03,741.51,178.64,3400.18
135.0,1161.0,2016-07-03 10:40:49,511.0,0.0,13.0,524.0,2549.89,0.0,105.56,2655.45
136.0,1161.0,2016-08-01 17:54:19,495.0,0.0,28.0,523.0,2470.05,0.0,227.36,2697.41
137.0,1161.0,2016-08-31 03:20:24,458.0,2.0,27.0,487.0,2285.42,14.98,219.24,2519.64
138.0,1161.0,2016-09-29 07:56:39,423.0,10.0,21.0,454.0,2110.77,74.9,170.52,2356.19
139.0,1161.0,2016-10-28 07:33:35,501.0,7.0,0.0,508.0,2499.99,52.43,0.0,2552.42
140.0,1161.0,2016-11-26 12:57:21,427.0,16.0,16.0,459.0,2130.73,119.84,129.92,2380.49
141.0,1161.0,2016-12-25 20:33:25,509.0,7.0,6.0,522.0,2539.91,52.43,48.72,2641.06
142.0,1171.0,2016-08-24 20:41:08,332.0,32.0,13.0,377.0,1656.68,239.68,105.56,2001.92
143.0,1171.0,2016-09-23 03:36:03,298.0,0.0,66.0,364.0,1487.02,0.0,535.92,2022.94
144.0,1171.0,2016-10-22 17:50:39,288.0,22.0,26.0,336.0,1437.12,164.78,211.12,1813.02
145.0,1171.0,2016-11-20 03:49:54,271.0,29.0,26.0,326.0,1352.29,217.21,211.12,1780.62
146.0,1171.0,2016-12-20 18:09:01,257.0,34.0,63.0,354.0,1282.43,254.66,511.56,2048.65
147.0,1181.0,2013-12-17 23:02:57,339.0,0.0,0.0,339.0,1691.61,0.0,0.0,1691.61
148.0,1181.0,2014-01-16 12:41:35,511.0,1.0,27.0,539.0,2549.89,7.49,219.24,2776.62
149.0,1181.0,2014-02-14 08:36:49,487.0,3.0,19.0,509.0,2430.13,22.47,154.28,2606.88
150.0,1181.0,2014-03-16 04:54:17,481.0,14.0,15.0,510.0,2400.19,104.86,121.8,2626.85
151.0,1181.0,2014-04-14 13:50:32,505.0,0.0,99.0,604.0,2519.95,0.0,803.88,3323.83
152.0,1181.0,2014-05-14 05:25:30,504.0,54.0,0.0,558.0,2514.96,404.46,0.0,2919.42
153.0,1181.0,2014-06-13 09:44:25,510.0,7.0,0.0,517.0,2544.9,52.43,0.0,2597.33
154.0,1181.0,2014-07-13 15:36:01,493.0,0.0,0.0,493.0,2460.07,0.0,0.0,2460.07
155.0,1181.0,2014-08-12 04:53:21,493.0,0.0,18.0,511.0,2460.07,0.0,146.16,2606.23
156.0,1181.0,2014-09-10 19:12:10,501.0,19.0,0.0,520.0,2499.99,142.31,0.0,2642.3
157.0,1181.0,2014-10-10 14:13:28,498.0,46.0,22.0,566.0,2485.02,344.54,178.64,3008.2
158.0,1181.0,2014-11-09 22:03:16,706.0,13.0,3.0,722.0,3522.94,97.37,24.36,3644.67
159.0,1181.0,2014-12-09 12:46:46,476.0,0.0,4.0,480.0,2375.24,0.0,32.48,2407.72
160.0,1181.0,2015-01-08 07:23:41,476.0,0.0,2.0,478.0,2375.24,0.0,16.24,2391.48
161.0,1181.0,2015-02-06 13:29:48,510.0,2.0,12.0,524.0,2544.9,14.98,97.44,2657.32
162.0,1181.0,2015-03-08 06:05:39,484.0,0.0,35.0,519.0,2415.16,0.0,284.2,2699.36
163.0,1181.0,2015-04-06 03:14:32,489.0,1.0,9.0,499.0,2440.11,7.49,73.08,2520.68
164.0,1181.0,2015-05-06 13:45:56,508.0,21.0,0.0,529.0,2534.92,157.29,0.0,2692.21
165.0,1181.0,2015-06-05 17:35:06,511.0,11.0,0.0,522.0,2549.89,82.39,0.0,2632.28
166.0,1181.0,2015-07-04 20:58:59,491.0,0.0,0.0,491.0,2450.09,0.0,0.0,2450.09
167.0,1181.0,2015-08-03 18:02:01,500.0,0.0,8.0,508.0,2495.0,0.0,64.96,2559.96
168.0,1181.0,2015-09-01 09:08:48,507.0,12.0,0.0,519.0,2529.93,89.88,0.0,2619.81
169.0,1181.0,2015-10-01 22:44:46,477.0,27.0,26.0,530.0,2380.23,202.23,211.12,2793.58
170.0,1181.0,2015-10-31 08:48:08,535.0,8.0,0.0,543.0,2669.65,59.92,0.0,2729.57
171.0,1181.0,2015-11-29 06:01:34,470.0,21.0,3.0,494.0,2345.3,157.29,24.36,2526.95
172.0,1181.0,2015-12-28 11:30:53,459.0,18.0,16.0,493.0,2290.41,134.82,129.92,2555.15
173.0,1181.0,2016-01-26 19:59:47,496.0,4.0,0.0,500.0,2475.04,29.96,0.0,2505.0
174.0,1181.0,2016-02-25 17:33:00,495.0,15.0,4.0,514.0,2470.05,112.35,32.48,2614.88
175.0,1181.0,2016-03-25 19:26:28,471.0,0.0,8.0,479.0,2350.29,0.0,64.96,2415.25
176.0,1181.0,2016-04-24 16:47:51,2188.0,50.0,12.0,2250.0,10918.12,374.5,97.44,11390.06
177.0,1181.0,2016-05-23 02:53:33,514.0,19.0,0.0,533.0,2564.86,142.31,0.0,2707.17
178.0,1181.0,2016-06-22 05:29:19,492.0,4.0,0.0,496.0,2455.08,29.96,0.0,2485.04
179.0,1181.0,2016-07-21 15:00:45,495.0,30.0,5.0,530.0,2470.05,224.7,40.6,2735.35
180.0,1181.0,2016-08-19 22:44:43,504.0,13.0,23.0,540.0,2514.96,97.37,186.76,2799.09
181.0,1181.0,2016-09-18 09:07:46,504.0,10.0,0.0,514.0,2514.96,74.9,0.0,2589.86
182.0,1181.0,2016-10-18 09:56:10,507.0,14.0,20.0,541.0,2529.93,104.86,162.4,2797.19
183.0,1181.0,2016-11-17 09:12:10,509.0,13.0,76.0,598.0,2539.91,97.37,617.12,3254.4
184.0,1181.0,2016-12-17 22:14:14,428.0,0.0,22.0,450.0,2135.72,0.0,178.64,2314.36
185.0,1191.0,2016-01-24 19:29:16,502.0,0.0,17.0,519.0,2504.98,0.0,138.04,2643.02
186.0,1191.0,2016-02-23 10:30:36,485.0,18.0,17.0,520.0,2420.15,134.82,138.04,2693.01
187.0,1191.0,2016-03-23 21:33:31,485.0,134.0,0.0,619.0,2420.15,1003.66,0.0,3423.81
188.0,1191.0,2016-04-22 03:09:53,497.0,23.0,11.0,531.0,2480.03,172.27,89.32,2741.62
189.0,1191.0,2016-05-21 23:11:38,500.0,0.0,3.0,503.0,2495.0,0.0,24.36,2519.36
190.0,1191.0,2016-06-20 21:28:14,500.0,7.0,1.0,508.0,2495.0,52.43,8.12,2555.55
191.0,1191.0,2016-07-19 07:24:11,506.0,0.0,12.0,518.0,2524.94,0.0,97.44,2622.38
192.0,1191.0,2016-08-18 16:04:15,496.0,30.0,0.0,526.0,2475.04,224.7,0.0,2699.74
193.0,1191.0,2016-09-17 05:09:45,529.0,67.0,0.0,596.0,2639.71,501.83,0.0,3141.54
194.0,1191.0,2016-10-16 19:29:55,471.0,0.0,10.0,481.0,2350.29,0.0,81.2,2431.49
195.0,1191.0,2016-11-15 20:44:15,494.0,0.0,5.0,499.0,2465.06,0.0,40.6,2505.66
196.0,1191.0,2016-12-15 20:49:47,0.0,171.0,24.0,195.0,0.0,1280.79,194.88,1475.67
197.0,1201.0,2016-11-12 11:54:43,491.0,0.0,0.0,491.0,2450.09,0.0,0.0,2450.09
198.0,1201.0,2016-12-11 05:51:52,510.0,0.0,11.0,521.0,2544.9,0.0,89.32,2634.22
199.0,1211.0,2016-11-22 08:08:54,259.0,29.0,23.0,311.0,1292.41,217.21,186.76,1696.38
200.0,1211.0,2016-12-21 23:39:04,311.0,22.0,10.0,343.0,1551.89,164.78,81.2,1797.87
201.0,1221.0,2015-01-20 10:54:29,491.0,14.0,0.0,505.0,2450.09,104.86,0.0,2554.95
202.0,1221.0,2015-02-18 15:41:25,532.0,0.0,104.0,636.0,2654.68,0.0,844.48,3499.16
203.0,1221.0,2015-03-19 12:18:21,508.0,0.0,11.0,519.0,2534.92,0.0,89.32,2624.24
204.0,1221.0,2015-04-17 11:41:57,515.0,0.0,24.0,539.0,2569.85,0.0,194.88,2764.73
205.0,1221.0,2015-05-16 19:44:32,336.0,14.0,18.0,368.0,1676.64,104.86,146.16,1927.66
206.0,1221.0,2015-06-15 08:14:22,533.0,0.0,32.0,565.0,2659.67,0.0,259.84,2919.51
207.0,1221.0,2015-07-15 07:36:48,501.0,0.0,34.0,535.0,2499.99,0.0,276.08,2776.07
208.0,1221.0,2015-08-14 09:55:14,464.0,0.0,23.0,487.0,2315.36,0.0,186.76,2502.12
209.0,1221.0,2015-09-12 17:54:40,531.0,0.0,10.0,541.0,2649.69,0.0,81.2,2730.89
210.0,1221.0,2015-10-11 13:32:14,492.0,12.0,22.0,526.0,2455.08,89.88,178.64,2723.6
211.0,1221.0,2015-11-09 23:30:42,497.0,0.0,17.0,514.0,2480.03,0.0,138.04,2618.07
212.0,1221.0,2015-12-08 16:38:40,583.0,0.0,0.0,583.0,2909.17,0.0,0.0,2909.17
213.0,1221.0,2016-01-06 20:57:34,660.0,6.0,17.0,683.0,3293.4,44.94,138.04,3476.38
214.0,1221.0,2016-02-04 20:17:54,485.0,1345.0,21.0,1851.0,2420.15,10074.05,170.52,12664.72
215.0,1221.0,2016-03-04 19:49:15,512.0,0.0,3.0,515.0,2554.88,0.0,24.36,2579.24
216.0,1221.0,2016-04-03 19:34:42,542.0,20.0,0.0,562.0,2704.58,149.8,0.0,2854.38
217.0,1221.0,2016-05-03 07:17:08,500.0,0.0,35.0,535.0,2495.0,0.0,284.2,2779.2
218.0,1221.0,2016-06-01 21:34:56,504.0,20.0,113.0,637.0,2514.96,149.8,917.56,3582.32
219.0,1221.0,2016-06-30 15:16:45,496.0,0.0,78.0,574.0,2475.04,0.0,633.36,3108.4
220.0,1221.0,2016-07-29 23:05:35,496.0,5.0,9.0,510.0,2475.04,37.45,73.08,2585.57
221.0,1221.0,2016-08-27 08:04:03,510.0,0.0,0.0,510.0,2544.9,0.0,0.0,2544.9
222.0,1221.0,2016-09-26 18:25:38,495.0,16.0,11.0,522.0,2470.05,119.84,89.32,2679.21
223.0,1221.0,2016-10-26 08:45:50,494.0,10.0,0.0,504.0,2465.06,74.9,0.0,2539.96
224.0,1221.0,2016-11-25 08:10:12,501.0,114.0,7.0,622.0,2499.99,853.86,56.84,3410.69
225.0,1221.0,2016-12-24 21:14:21,510.0,9.0,39.0,558.0,2544.9,67.41,316.68,2928.99
226.0,1231.0,2016-02-26 03:23:36,485.0,7.0,0.0,492.0,2420.15,52.43,0.0,2472.58
227.0,1231.0,2016-03-27 11:31:53,715.0,29.0,12.0,756.0,3567.85,217.21,97.44,3882.5
228.0,1231.0,2016-04-26 17:01:44,522.0,9.0,7.0,538.0,2604.78,67.41,56.84,2729.03
229.0,1231.0,2016-05-26 17:41:23,498.0,9.0,4.0,511.0,2485.02,67.41,32.48,2584.91
230.0,1231.0,2016-07-24 06:33:56,508.0,0.0,24.0,532.0,2534.92,0.0,194.88,2729.8
231.0,1231.0,2016-08-23 15:37:48,497.0,14.0,96.0,607.0,2480.03,104.86,779.52,3364.41
232.0,1231.0,2016-09-23 00:10:40,498.0,14.0,19.0,531.0,2485.02,104.86,154.28,2744.16
233.0,1231.0,2016-10-21 22:54:32,477.0,11.0,1.0,489.0,2380.23,82.39,8.12,2470.74
234.0,1231.0,2016-11-20 15:16:58,505.0,0.0,1355.0,1860.0,2519.95,0.0,11002.6,13522.55
235.0,1231.0,2016-12-20 14:07:59,502.0,0.0,0.0,502.0,2504.98,0.0,0.0,2504.98
236.0,1241.0,2016-06-14 11:18:07,132.0,24.0,0.0,156.0,658.68,179.76,0.0,838.44
237.0,1241.0,2016-07-13 13:16:49,259.0,13.0,0.0,272.0,1292.41,97.37,0.0,1389.78
238.0,1241.0,2016-08-11 02:41:45,150.0,36.0,4.0,190.0,748.5,269.64,32.48,1050.62
239.0,1241.0,2016-09-09 18:13:45,165.0,13.0,0.0,178.0,823.35,97.37,0.0,920.72
240.0,1241.0,2016-10-08 11:09:21,147.0,12.0,99.0,258.0,733.53,89.88,803.88,1627.29
241.0,1241.0,2016-11-07 06:24:11,155.0,12.0,6.0,173.0,773.45,89.88,48.72,912.05
242.0,1241.0,2016-12-06 15:03:16,136.0,0.0,34.0,170.0,678.64,0.0,276.08,954.72
243.0,1251.0,2013-12-11 20:36:06,86.0,39.0,34.0,159.0,429.14,292.11,276.08,997.33
244.0,1251.0,2014-01-09 04:41:26,126.0,34.0,30.0,190.0,628.74,254.66,243.6,1127.0
245.0,1251.0,2014-02-07 21:05:25,94.0,24.0,25.0,143.0,469.06,179.76,203.0,851.82
246.0,1251.0,2014-03-08 06:23:33,86.0,34.0,24.0,144.0,429.14,254.66,194.88,878.68
247.0,1251.0,2014-04-07 10:57:41,101.0,28.0,20.0,149.0,503.99,209.72,162.4,876.11
248.0,1251.0,2014-05-07 21:11:36,80.0,90.0,28.0,198.0,399.2,674.1,227.36,1300.66
249.0,1251.0,2014-06-06 16:12:08,159.0,41.0,35.0,235.0,793.41,307.09,284.2,1384.7
